car,parent,hash_hex,topspeed0,topspeed1,topspeed2,topspeed3,acceleration0,acceleration1,acceleration2,acceleration3,handling0,handling1,handling2,handling3,topspeed_source,acceleration_source,handling_source
2000gtr72,tuner,0x9892B890,231.0,790.0,722.0,867.0,424.0,809.0,833.0,807.0,380.0,540.0,516.0,520.0,2000gtr72,2000gtr72,2000gtr72
200sx,tuner,0xD62A4BB0,153.0,785.0,721.0,876.0,212.0,777.0,823.0,773.0,322.0,420.0,402.0,424.0,200sx,200sx,200sx
240sx,tuner,0xA86F2BFC,120.0,785.0,720.0,871.0,251.0,695.0,809.0,732.0,302.0,469.0,407.0,422.0,240sx,240sx,240sx
240zg71,tuner,0x6462415E,230.0,784.0,721.0,876.0,444.0,810.0,806.0,810.0,367.0,489.0,471.0,513.0,240zg71,240zg71,240zg71
300c,muscle,0x6817A0D1,383.0,816.0,747.0,877.0,539.0,842.0,856.0,848.0,233.0,376.0,407.0,371.0,300c,300c,300c
350z,tuner,0x35138539,387.0,817.0,750.0,876.0,505.0,737.0,746.0,750.0,271.0,307.0,276.0,269.0,350z,350z,350z
370z,tuner,0x751FFE1F,374.0,814.0,756.0,884.0,420.0,726.0,793.0,776.0,462.0,473.0,484.0,489.0,370z,370z,370z
370zroadster,tuner,0xD1C3156D,373.0,814.0,756.0,884.0,409.0,700.0,769.0,749.0,333.0,351.0,316.0,316.0,370zroadster,370zroadster,370zroadster
911gt2,exotic,0x9B3EF46F,601.0,886.0,789.0,918.0,813.0,887.0,887.0,884.0,567.0,589.0,562.0,573.0,911gt2,911gt2,911gt2
911gt3rs,exotic,0x411901D9,599.0,892.0,790.0,917.0,838.0,911.0,903.0,899.0,693.0,704.0,676.0,691.0,911gt3rs,911gt3rs,911gt3rs
911rsr74,exotic,0x45C30FD4,397.0,815.0,751.0,880.0,551.0,811.0,825.0,810.0,487.0,511.0,513.0,509.0,911rsr74,911rsr74,911rsr74
911turbo,exotic,0xD27D5B8D,525.0,750.0,700.0,800.0,500.0,700.0,800.0,750.0,475.0,800.0,750.0,700.0,911turbo,911turbo,911turbo
959,exotic,0x228EB7E7,590.0,888.0,790.0,913.0,748.0,813.0,823.0,814.0,676.0,742.0,698.0,700.0,959,959,959
991s,exotic,0x556B9B25,601.0,888.0,785.0,909.0,813.0,887.0,878.0,891.0,696.0,684.0,671.0,691.0,991s,991s,991s
997gt2,exotic,0xD494B7B0,601.0,885.0,790.0,918.0,832.0,735.0897216796875,886.0,903.0,582.0,584.0,571.0,596.0,997gt2,997gt2,997gt2
997tt,exotic,0x5A7F9439,566.0,850.0,783.0,917.0,568.0,750.0,862.0,737.0,253.0,331.0,278.0,238.0,997tt,997tt,997tt
alfaromeo8c,exotic,0x0D7A6A98,597.0,895.0,788.0,949.0,801.0,862.0,876.0,878.0,658.0,609.0,604.0,607.0,alfaromeo8c,alfaromeo8c,alfaromeo8c
battlefield1,muscle,0xB5221428,382.0,789.0,734.0,848.0,598.0,771.0,764.0,742.0,584.0,700.0,596.0,613.0,battlefield1,battlefield1,battlefield1
battlefield2,muscle,0x14710CCE,382.0,789.0,734.0,848.0,598.0,771.0,764.0,742.0,584.0,700.0,596.0,613.0,battlefield2,battlefield2,battlefield2
bentleygtconv,exotic,0x682B5886,556.0,840.0,745.0,859.0,807.0,870.0,879.0,852.0,720.0,758.0,729.0,716.0,bentleygtconv,bentleygtconv,bentleygtconv
bmw135i08,exotic,0xF1500001,352.0,818.0,755.0,865.0,314.0,704.0,763.0,711.0,376.0,369.0,327.0,329.0,bmw135i08,bmw135i08,bmw135i08
bmw1m,tuner,0x512F289D,396.0,817.0,750.0,887.0,631.0,868.0,872.0,872.0,700.0,689.0,671.0,673.0,bmw1m,bmw1m,bmw1m
bmw3csl,tuner,0xA8B4CEDD,407.0,817.0,750.0,889.0,573.0,848.0,854.0,858.0,440.0,629.0,582.0,609.0,bmw3csl,bmw3csl,bmw3csl
bmwm1procar,exotic,0x7E818C27,597.0,889.0,784.0,918.0,862.0,884.0,909.0,913.0,671.0,591.0,576.0,584.0,bmwm1procar,bmwm1procar,bmwm1procar
bmwm3,exotic,0xDDA4F129,600.0,775.0,725.0,825.0,575.0,725.0,825.0,775.0,550.0,825.0,775.0,725.0,bmwm3,bmwm3,bmwm3
bmwm3e30,tuner,0x83AA4654,393.0,817.0,750.0,878.0,573.0,848.0,854.0,858.0,436.0,620.0,591.0,593.0,bmwm3e30,bmwm3e30,bmwm3e30
bmwm3e92,exotic,0x29C56468,584.0,868.0,780.0,906.0,641.0,752.0,802.0,761.0,300.0,247.0,238.0,222.0,bmwm3e92,bmwm3e92,bmwm3e92
bmwm3gtr,exotic,0xCD88083F,567.0,880.0,786.0,915.0,673.0,797.0,849.0,815.0,513.0,596.0,584.0,587.0,bmwm3gtr,bmwm3gtr,bmwm3gtr
bmwm3gtre46,exotic,0x4E085FB3,760.0,0.0,0.0,0.0,820.0,0.0,0.0,0.0,800.0,0.0,0.0,0.0,bmwm3gtre46,bmwm3gtre46,bmwm3gtre46
bmwm3gts,exotic,0xE0CBC5F5,586.0,888.0,786.0,897.0,840.0,871.0,884.0,866.0,576.0,591.0,576.0,571.0,bmwm3gts,bmwm3gts,bmwm3gts
bmwm6,exotic,0xCC22CEC2,399.0,816.0,754.0,880.0,645.0,880.0,893.0,888.0,738.0,711.0,720.0,718.0,bmwm6,bmwm6,bmwm6
