product_id,hash_hex,hash_u32,brand,component,stage,rarity_name,rarity_id,level,topspeed,acceleration,handling,installable_slot
t0_custom_brakes_pro_uncommonrarity,0xC6BE619E,3334365598,custom,brakes,pro,uncommonrarity,2,10,0,0,50,yes
t0_custom_brakes_race_commonrarity,0x1E0B30E3,504049891,custom,brakes,race,commonrarity,1,10,0,0,99,yes
t0_custom_brakes_street_greyrarity,0xA988BCF1,2844310769,custom,brakes,street,greyrarity,0,10,0,0,100,yes
t0_custom_brakes_uber_rarerarity,0x83FA58BC,2214222012,custom,brakes,uber,rarerarity,3,10,0,0,25,yes
t0_custom_engine_pro_uncommonrarity,0xF51E56DD,4112406237,custom,engine,pro,uncommonrarity,2,10,50,0,0,yes
t0_custom_engine_race_commonrarity,0xD4E7A6BE,3571951294,custom,engine,race,commonrarity,1,10,99,0,0,yes
t0_custom_engine_street_greyrarity,0x91AAE32B,2443895595,custom,engine,street,greyrarity,0,10,100,0,0,yes
t0_custom_engine_street_uncommonrarity,0x848CB23C,2223813180,custom,engine,street,uncommonrarity,2,0,5,5,0,yes
t0_custom_engine_uber_rarerarity,0x31C7A241,835166785,custom,engine,uber,rarerarity,3,10,25,0,0,yes
t0_custom_forcedinduction_pro_uncommonrarity,0x0370961D,57710109,custom,forcedinduction,pro,uncommonrarity,2,10,0,50,0,yes
t0_custom_forcedinduction_race_commonrarity,0xA36BED7E,2741759358,custom,forcedinduction,race,commonrarity,1,10,0,99,0,yes
t0_custom_forcedinduction_street_greyrarity,0x065A9309,106599177,custom,forcedinduction,street,greyrarity,0,10,0,100,0,yes
t0_custom_forcedinduction_uber_rarerarity,0x2348AA37,591964727,custom,forcedinduction,uber,rarerarity,3,10,0,25,0,yes
t0_gearhead_brakes_elite_commonrarity,0x15AC2485,363603077,gearhead,brakes,elite,commonrarity,1,10,0,0,15,yes
t0_gearhead_brakes_elite_greyrarity,0xC8AA16DD,3366590173,gearhead,brakes,elite,greyrarity,0,10,0,0,14,yes
t0_gearhead_brakes_elite_uncommonrarity,0x865EE7BA,2254366650,gearhead,brakes,elite,uncommonrarity,2,10,0,0,16,yes
t0_gearhead_brakes_pro_commonrarity,0x003955A9,3757481,gearhead,brakes,pro,commonrarity,1,5,0,0,9,yes
t0_gearhead_brakes_pro_eliterarity,0x1E0FCE5D,504352349,gearhead,brakes,pro,eliterarity,4,8,0,0,12,yes
